N is 4
N is 4
omega has size 1
omega has size 2
omega has size 3
omega has size 4
theta has size 1theta has size 2theta has size 3theta has size 4theta has size 40, 12.6858, dt0
0.181, 12.9641, dt0
0.181, 13.2079, dt1
0.181, 11.3606, dt2
0.181, 10.7353, dt3
0.182, 12.5537, dt0
0.182, 13.1527, dt1
0.182, 11.43, dt2
0.182, 11.264, dt3
0.183, 13.5321, dt0
0.183, 13.088, dt1
0.183, 10.6035, dt2
0.183, 10.9747, dt3
0.184, 12.951, dt0
0.184, 13.404, dt1
0.184, 11.5176, dt2
0.184, 11.3213, dt3
0.185, 13.7178, dt0
0.185, 12.5916, dt1
0.185, 10.7843, dt2
0.185, 11.0051, dt3
0.186, 12.6198, dt0
0.186, 13.1044, dt1
0.186, 11.6527, dt2
0.186, 11.2448, dt3
0.187, 12.4818, dt0
0.187, 12.4583, dt1
0.187, 10.4267, dt2
0.187, 11.532, dt3
0.188, 12.7264, dt0
0.188, 12.7708, dt1
0.188, 11.1709, dt2
0.188, 11.4106, dt3
0.189, 12.0489, dt0
0.189, 13.1692, dt1
0.189, 10.7793, dt2
0.189, 10.56, dt3
0.19, 12.2019, dt0
0.19, 12.939, dt1
0.19, 11.7444, dt2
0.19, 11.1569, dt3
0.191, 12.9945, dt0
0.191, 12.8868, dt1
0.191, 10.9099, dt2
0.191, 10.7024, dt3
0.192, 12.8807, dt0
0.192, 12.621, dt1
0.192, 10.9816, dt2
0.192, 11.9618, dt3
0.193, 13.1168, dt0
0.193, 13.1727, dt1
0.193, 10.8849, dt2
0.193, 11.1299, dt3
0.194, 12.9551, dt0
0.194, 12.5885, dt1
0.194, 11.6008, dt2
0.194, 10.5369, dt3
0.195, 11.9679, dt0
0.195, 13.092, dt1
0.195, 11.0012, dt2
0.195, 11.8061, dt3
0.196, 12.6483, dt0
0.196, 13.5379, dt1
0.196, 11.3863, dt2
0.196, 11.2246, dt3
0.197, 12.1932, dt0
0.197, 13.9456, dt1
0.197, 10.4373, dt2
0.197, 10.6279, dt3
0.198, 12.4757, dt0
0.198, 12.9437, dt1
0.198, 10.8645, dt2
0.198, 10.8965, dt3
0.199, 12.8451, dt0
0.199, 12.5355, dt1
0.199, 10.8532, dt2
0.199, 11.2019, dt3
0.2, 11.548, dt0
0.2, 12.8966, dt1
0.2, 10.8536, dt2
0.2, 11.352, dt3
0.201, 13.6536, dt0
0.201, 13.1703, dt1
0.201, 11.4385, dt2
0.201, 11.2447, dt3
0.202, 11.9263, dt0
0.202, 13.569, dt1
0.202, 10.6501, dt2
0.202, 11.6077, dt3
0.203, 11.8262, dt0
0.203, 13.3939, dt1
0.203, 11.6717, dt2
0.203, 11.3992, dt3
0.204, 12.8575, dt0
0.204, 12.8861, dt1
0.204, 10.3407, dt2
0.204, 10.8627, dt3
0.205, 13.4369, dt0
0.205, 13.4084, dt1
0.205, 10.8231, dt2
0.205, 11.0401, dt3
0.206, 12.9605, dt0
0.206, 12.7692, dt1
0.206, 11.6422, dt2
0.206, 10.0946, dt3
